,box_start,box_end,probability_prior,probability_1,posterior_probability,probability_2
0,1,1,0.13333333333333333,0.0,0.12903225806451613,0.0
1,1,2,0.4,0.0,0.3870967741935484,0.0
2,1,3,0.03333333333333333,0.0,0.03225806451612903,0.0
3,1,5,0.3,0.0,0.2903225806451613,0.0
4,1,6,0.06666666666666667,0.0,0.06451612903225806,0.0
5,1,9,0.03333333333333333,1.0,0.06451612903225806,1.0
6,1,13,0.03333333333333333,0.0,0.03225806451612903,0.0
7,2,1,0.05263157894736842,0.0,0.0457516339869281,0.0
8,2,2,0.14285714285714285,0.15,0.1437908496732026,0.14285714285714285
9,2,3,0.12030075187969924,0.4,0.1568627450980392,0.2857142857142857
10,2,4,0.007518796992481203,0.05,0.013071895424836602,0.07142857142857142
11,2,5,0.06766917293233082,0.05,0.06535947712418301,0.07142857142857142
12,2,6,0.13533834586466165,0.1,0.13071895424836602,0.14285714285714285
13,2,7,0.15789473684210525,0.1,0.1503267973856209,0.07142857142857142
14,2,8,0.03007518796992481,0.0,0.026143790849673203,0.0
15,2,9,0.03007518796992481,0.0,0.026143790849673203,0.0
16,2,10,0.03007518796992481,0.05,0.032679738562091505,0.07142857142857142
17,2,11,0.015037593984962405,0.05,0.0196078431372549,0.07142857142857142
18,2,12,0.03007518796992481,0.0,0.026143790849673203,0.0
19,2,13,0.07518796992481203,0.0,0.06535947712418301,0.0
20,2,14,0.03759398496240601,0.05,0.0392156862745098,0.07142857142857142
21,2,15,0.022556390977443608,0.0,0.0196078431372549,0.0
22,2,16,0.007518796992481203,0.0,0.006535947712418301,0.0
23,2,17,0.03007518796992481,0.0,0.026143790849673203,0.0
24,2,19,0.007518796992481203,0.0,0.006535947712418301,0.0
25,3,1,0.02962962962962963,0.0,0.025477707006369428,0.0
26,3,2,0.1111111111111111,0.18181818181818182,0.12101910828025478,0.14285714285714285
27,3,3,0.17037037037037037,0.045454545454545456,0.15286624203821655,0.14285714285714285
28,3,4,0.022222222222222223,0.09090909090909091,0.03184713375796178,0.0
29,3,5,0.05925925925925926,0.0,0.050955414012738856,0.0
30,3,6,0.0962962962962963,0.22727272727272727,0.11464968152866242,0.0
31,3,7,0.11851851851851852,0.22727272727272727,0.1337579617834395,0.2857142857142857
32,3,8,0.05925925925925926,0.045454545454545456,0.05732484076433121,0.0
33,3,9,0.022222222222222223,0.0,0.01910828025477707,0.0
34,3,10,0.05925925925925926,0.0,0.050955414012738856,0.0
35,3,11,0.044444444444444446,0.09090909090909091,0.050955414012738856,0.14285714285714285
36,3,12,0.037037037037037035,0.045454545454545456,0.03821656050955414,0.14285714285714285
37,3,13,0.022222222222222223,0.0,0.01910828025477707,0.0
38,3,14,0.02962962962962963,0.0,0.025477707006369428,0.0
39,3,15,0.022222222222222223,0.0,0.01910828025477707,0.0
40,3,16,0.06666666666666667,0.045454545454545456,0.06369426751592357,0.14285714285714285
41,3,17,0.007407407407407408,0.0,0.006369426751592357,0.0
42,3,19,0.007407407407407408,0.0,0.006369426751592357,0.0
43,3,20,0.007407407407407408,0.0,0.006369426751592357,0.0
44,3,23,0.007407407407407408,0.0,0.006369426751592357,0.0
45,4,3,0.11538461538461539,0.16666666666666666,0.125,0.0
46,4,4,0.2692307692307692,0.16666666666666666,0.25,0.0
47,4,5,0.038461538461538464,0.0,0.03125,0.0
48,4,7,0.038461538461538464,0.0,0.03125,0.0
49,4,8,0.4230769230769231,0.5,0.4375,0.5
50,4,15,,0.16666666666666666,0.03125,0.5
51,4,16,0.038461538461538464,0.0,0.03125,0.0
52,4,20,0.07692307692307693,0.0,0.0625,0.0
53,5,1,0.056910569105691054,0.0,0.051094890510948905,0.0
54,5,2,0.14634146341463414,0.35714285714285715,0.1678832116788321,0.5
55,5,5,0.2926829268292683,0.0,0.26277372262773724,0.0
56,5,6,0.15447154471544716,0.14285714285714285,0.15328467153284672,0.1
57,5,7,0.024390243902439025,0.21428571428571427,0.043795620437956206,0.2
58,5,9,0.22764227642276422,0.14285714285714285,0.21897810218978103,0.1
59,5,10,0.056910569105691054,0.07142857142857142,0.058394160583941604,0.0
60,5,11,0.008130081300813009,0.0,0.0072992700729927005,0.0
61,5,12,0.008130081300813009,0.0,0.0072992700729927005,0.0
62,5,13,0.008130081300813009,0.0,0.0072992700729927005,0.0
63,5,14,0.008130081300813009,0.0,0.0072992700729927005,0.0
64,5,16,0.008130081300813009,0.0,0.0072992700729927005,0.0
65,5,18,,0.07142857142857142,0.0072992700729927005,0.1
66,6,1,0.023076923076923078,0.0,0.019867549668874173,0.0
67,6,2,0.11538461538461539,0.0,0.09933774834437085,0.0
68,6,3,0.08461538461538462,0.0,0.0728476821192053,0.0
69,6,5,0.1076923076923077,0.09523809523809523,0.10596026490066225,0.125
70,6,6,0.18461538461538463,0.19047619047619047,0.18543046357615894,0.0
71,6,7,0.1,0.2857142857142857,0.12582781456953643,0.375
72,6,8,0.038461538461538464,0.047619047619047616,0.039735099337748346,0.0
73,6,9,0.1076923076923077,0.09523809523809523,0.10596026490066225,0.0
74,6,10,0.09230769230769231,0.19047619047619047,0.10596026490066225,0.375
75,6,11,0.06923076923076923,0.0,0.059602649006622516,0.0
76,6,12,0.007692307692307693,0.0,0.006622516556291391,0.0
77,6,13,0.015384615384615385,0.0,0.013245033112582781,0.0
78,6,14,0.007692307692307693,0.0,0.006622516556291391,0.0
79,6,15,0.015384615384615385,0.0,0.013245033112582781,0.0
80,6,17,0.007692307692307693,0.0,0.006622516556291391,0.0
81,6,18,,0.047619047619047616,0.006622516556291391,0.125
82,6,19,0.007692307692307693,0.0,0.006622516556291391,0.0
83,6,21,,0.047619047619047616,0.006622516556291391,0.0
84,6,23,0.007692307692307693,0.0,0.006622516556291391,0.0
85,6,24,0.007692307692307693,0.0,0.006622516556291391,0.0
86,7,2,0.056910569105691054,0.14814814814814814,0.07333333333333333,0.16666666666666666
87,7,3,0.06504065040650407,0.14814814814814814,0.08,0.1111111111111111
88,7,4,0.008130081300813009,0.0,0.006666666666666667,0.0
89,7,5,0.056910569105691054,0.0,0.04666666666666667,0.0
90,7,6,0.13008130081300814,0.2222222222222222,0.14666666666666667,0.2222222222222222
91,7,7,0.18699186991869918,0.0,0.15333333333333332,0.0
92,7,8,0.0975609756097561,0.07407407407407407,0.09333333333333334,0.0
93,7,9,0.024390243902439025,0.07407407407407407,0.03333333333333333,0.05555555555555555
94,7,10,0.04065040650406504,0.0,0.03333333333333333,0.0
95,7,11,0.1951219512195122,0.14814814814814814,0.18666666666666668,0.2222222222222222
96,7,12,0.08943089430894309,0.14814814814814814,0.1,0.16666666666666666
97,7,13,0.016260162601626018,0.0,0.013333333333333334,0.0
98,7,16,0.008130081300813009,0.0,0.006666666666666667,0.0
99,7,19,,0.037037037037037035,0.006666666666666667,0.05555555555555555
100,7,20,0.008130081300813009,0.0,0.006666666666666667,0.0
101,7,22,0.008130081300813009,0.0,0.006666666666666667,0.0
102,7,23,0.008130081300813009,0.0,0.006666666666666667,0.0
103,8,2,0.023255813953488372,0.0,0.017857142857142856,0.0
104,8,3,0.1511627906976744,0.23076923076923078,0.16964285714285715,0.2
105,8,4,0.06976744186046512,0.038461538461538464,0.0625,0.0
106,8,6,0.046511627906976744,0.038461538461538464,0.044642857142857144,0.0
107,8,7,0.06976744186046512,0.15384615384615385,0.08928571428571429,0.2
108,8,8,0.26744186046511625,0.23076923076923078,0.25892857142857145,0.2
109,8,11,0.11627906976744186,0.038461538461538464,0.09821428571428571,0.1
110,8,12,0.23255813953488372,0.11538461538461539,0.20535714285714285,0.0
111,8,15,,0.038461538461538464,0.008928571428571428,0.0
112,8,16,0.011627906976744186,0.11538461538461539,0.03571428571428571,0.3
113,8,20,0.011627906976744186,0.0,0.008928571428571428,0.0
114,9,1,0.012048192771084338,0.0,0.010256410256410256,0.0
115,9,2,0.03614457831325301,0.0,0.03076923076923077,0.0
116,9,5,0.0963855421686747,0.10344827586206896,0.09743589743589744,0.1875
117,9,6,0.04819277108433735,0.0,0.041025641025641026,0.0
118,9,7,0.012048192771084338,0.0,0.010256410256410256,0.0
119,9,9,0.2891566265060241,0.3103448275862069,0.2923076923076923,0.3125
120,9,10,0.15060240963855423,0.3103448275862069,0.17435897435897435,0.25
121,9,11,0.030120481927710843,0.0,0.02564102564102564,0.0
122,9,12,,0.034482758620689655,0.005128205128205128,0.0
123,9,13,0.20481927710843373,0.20689655172413793,0.20512820512820512,0.25
124,9,14,0.04819277108433735,0.034482758620689655,0.046153846153846156,0.0
125,9,17,0.024096385542168676,0.0,0.020512820512820513,0.0
126,9,20,0.012048192771084338,0.0,0.010256410256410256,0.0
127,9,21,0.012048192771084338,0.0,0.010256410256410256,0.0
128,9,22,0.012048192771084338,0.0,0.010256410256410256,0.0
129,9,24,0.012048192771084338,0.0,0.010256410256410256,0.0
130,10,2,0.019230769230769232,0.0,0.01593625498007968,0.0
131,10,3,0.014423076923076924,0.023255813953488372,0.01593625498007968,0.043478260869565216
132,10,5,0.014423076923076924,0.0,0.01195219123505976,0.0
133,10,6,0.0625,0.09302325581395349,0.06772908366533864,0.08695652173913043
134,10,7,0.009615384615384616,0.06976744186046512,0.0199203187250996,0.08695652173913043
135,10,9,0.15384615384615385,0.13953488372093023,0.15139442231075698,0.13043478260869565
136,10,10,0.20192307692307693,0.3023255813953488,0.21912350597609562,0.30434782608695654
137,10,11,0.23076923076923078,0.16279069767441862,0.21912350597609562,0.08695652173913043
138,10,12,0.014423076923076924,0.023255813953488372,0.01593625498007968,0.043478260869565216
139,10,13,0.10096153846153846,0.06976744186046512,0.09561752988047809,0.043478260869565216
140,10,14,0.08653846153846154,0.09302325581395349,0.08764940239043825,0.13043478260869565
141,10,15,0.02403846153846154,0.0,0.0199203187250996,0.0
142,10,16,0.028846153846153848,0.0,0.02390438247011952,0.0
